"Date","Time","group","Transect","Zone","Points within Zone","distance on tape","Latitude","Longitude","quarter","species","Distance from point (m)","Height (m)","Circumference (cm)","point location note"
"2/07/2015","10:09:59 AM","canon","Landward-Creek","40-60m","Point 1","44.5","","","quarter 4","Avicennia marina","1","0.5","7",""
"2/07/2015","10:10:58 AM","canon","Landward-Creek","40-60m","Point 2","56","-25.44806869","152.9895403","to next Transect point","","","","",""
"2/07/2015","10:11:36 AM","canon","Landward-Creek","40-60m","Point 2","56","","","quarter 1","Avicennia marina","1.2","0.3","3",""
"2/07/2015","10:13:01 AM","canon","Landward-Creek","40-60m","Point 2","56","","","quarter 2","Avicennia marina","1.7","0.2","1",""
"2/07/2015","10:14:44 AM","canon","Landward-Creek","40-60m","Point 2","56","","","quarter 3","Avicennia marina","1.4","0.6","9",""
"2/07/2015","10:15:17 AM","canon","Landward-Creek","40-60m","Point 2","56","","","quarter 4","Avicennia marina","1.6","0.6","10",""
"2/07/2015","10:16:12 AM","canon","Landward-Creek","60-80m","Point 1","70","-25.44800269","152.98938779","to next Transect point","","","","",""
"2/07/2015","10:17:32 AM","canon","Landward-Creek","60-80m","Point 1","70","","","quarter 1","Avicennia marina","1","0.3","8",""
"2/07/2015","10:18:33 AM","canon","Landward-Creek","60-80m","Point 1","70","","","quarter 2","Ceriops australis","0.6","0.3","2",""
"2/07/2015","10:19:49 AM","canon","Landward-Creek","60-80m","Point 1","70","","","quarter 3","Avicennia marina","0.9","0.3","3",""
"2/07/2015","10:20:52 AM","canon","Landward-Creek","60-80m","Point 1","70","","","quarter 4","Osbornia octodonta","0.7","0.7","4",""
"2/07/2015","10:23:11 AM","canon","Landward-Creek","80-100m","Point 1","85.5","-25.44791878","152.98925621","to next Transect point","","","","",""
"2/07/2015","10:23:44 AM","canon","Landward-Creek","80-100m","Point 1","85.5","","","quarter 1","Ceriops australis","0.6","0.2","4",""
"2/07/2015","10:24:51 AM","canon","Landward-Creek","80-100m","Point 1","85.5","","","quarter 2","Ceriops australis","1.1","1.1","13",""
"2/07/2015","10:25:24 AM","canon","Landward-Creek","80-100m","Point 1","85.5","","","quarter 3","Ceriops australis","0.2","0.3","5",""
"2/07/2015","10:26:08 AM","canon","Landward-Creek","80-100m","Point 1","85.5","","","quarter 4","Ceriops australis","0.9","0.2","4",""
"2/07/2015","10:26:48 AM","canon","Landward-Creek","80-100m","Point 2","95","-25.44787925","152.98917292","to next Transect point","","","","",""
"2/07/2015","10:27:31 AM","canon","Landward-Creek","80-100m","Point 2","95","","","quarter 1","Ceriops australis","1","0.3","5",""
"2/07/2015","10:28:12 AM","canon","Landward-Creek","80-100m","Point 2","95","","","quarter 2","Osbornia octodonta","0.7","0.3","5",""
"2/07/2015","10:28:52 AM","canon","Landward-Creek","80-100m","Point 2","95","","","quarter 3","Osbornia octodonta","1.2","0.4","6",""
"2/07/2015","10:29:16 AM","canon","Landward-Creek","80-100m","Point 2","95","","","quarter 4","Ceriops australis","0.8","0.5","6",""
"2/07/2015","11:05:27 AM","canon","","","Point 2","95","","","to next Transect point","","","","",""
"2/07/2015","11:05:38 AM","canon","","","Point 2","95","-25.44780626","152.98813327","to next Transect point","","","","",""
"2/07/2015","9:50:46 AM","kelvn","","","","","","","","","","","",""
"2/07/2015","9:52:24 AM","kelvn","","","","","-25.44816537","152.98996804","","","","","",""
"2/07/2015","9:52:47 AM","kelvn","Landward-Creek","0-20m","Point 1","12","-25.44835634","152.98979768","","","","","",""
"2/07/2015","9:54:01 AM","kelvn","Landward-Creek","0-20m","Point 1","12","","","quarter 1","Osbornia octodonta","0.3","","",""
"2/07/2015","9:55:25 AM","kelvn","Landward-Creek","0-20m","Point 1","12","","","quarter 1","Osbornia octodonta","0.3","0.3","2.5",""
"2/07/2015","9:56:09 AM","kelvn","Landward-Creek","0-20m","Point 1","12","","","quarter 2","Osbornia octodonta","0.6","0.4","3",""
"2/07/2015","9:57:10 AM","kelvn","Landward-Creek","0-20m","Point 1","12","","","quarter 3","Avicennia marina","0.7","0.7","13",""
"2/07/2015","9:58:05 AM","kelvn","Landward-Creek","0-20m","Point 1","12","","","quarter 4","Osbornia octodonta","0.4","0.6","4",""
"2/07/2015","9:59:22 AM","kelvn","Landward-Creek","20-40m","Point 1","25","-25.4482512","152.98975262","","","","","",""
"2/07/2015","10:00:05 AM","kelvn","Landward-Creek","20-40m","Point 1","25","","","quarter 1","Ceriops australis","0.8","0.6","6",""
"2/07/2015","10:00:57 AM","kelvn","Landward-Creek","20-40m","Point 1","25","","","quarter 2","Ceriops australis","0.3","0.6","6",""
"2/07/2015","10:01:59 AM","kelvn","Landward-Creek","20-40m","Point 1","25","","","quarter 3","Ceriops australis","0.6","0.6","9",""
"2/07/2015","10:02:27 AM","kelvn","Landward-Creek","20-40m","Point 1","25","","","quarter 4","Ceriops australis","0.3","0.5","9",""
"2/07/2015","10:03:20 AM","kelvn","Landward-Creek","20-40m","Point 2","37","-25.44818873","152.98963813","to next Transect point","","","","",""
"2/07/2015","10:04:44 AM","kelvn","Landward-Creek","20-40m","Point 2","37","","","quarter 1","Osbornia octodonta","0.8","0.7","9.5",""
"2/07/2015","10:06:05 AM","kelvn","Landward-Creek","20-40m","Point 2","37","","","quarter 2","Avicennia marina","0.8","0.7","6",""
"2/07/2015","10:07:10 AM","kelvn","Landward-Creek","20-40m","Point 2","37","","","quarter 3","Ceriops australis","0.6","1","12",""
"2/07/2015","10:08:07 AM","kelvn","Landward-Creek","20-40m","Point 2","37","","","quarter 4","Osbornia octodonta","0.4","0.4","5",""
"2/07/2015","10:09:08 AM","kelvn","Landward-Creek","40-60m","Point 1","49.2","-25.44813619","152.9895308","to next Transect point","","","","",""
"2/07/2015","10:10:33 AM","kelvn","Landward-Creek","40-60m","Point 1","49.2","","","quarter 1","Avicennia marina","1.1","0.3","13",""
"2/07/2015","10:12:25 AM","kelvn","Landward-Creek","40-60m","Point 1","49.2","","","quarter 2","Avicennia marina","1.6","0.4","12",""
"2/07/2015","10:13:31 AM","kelvn","Landward-Creek","40-60m","Point 1","49.2","","","quarter 3","Avicennia marina","2.1","0.2","5",""
"2/07/2015","10:14:31 AM","kelvn","Landward-Creek","40-60m","Point 1","49.2","","","quarter 4","Avicennia marina","2.4","0.3","4",""
"2/07/2015","10:15:20 AM","kelvn","Landward-Creek","60-80m","Point 1","66","-25.44805563","152.98940464","to next Transect point","","","","",""
"2/07/2015","10:16:51 AM","kelvn","Landward-Creek","60-80m","Point 1","66","","","quarter 1","Aegialitis annulata","1.1","0.3","6",""
"2/07/2015","10:17:25 AM","kelvn","Landward-Creek","60-80m","Point 1","66","","","quarter 2","Aegialitis annulata","0.8","0.4","10",""
"2/07/2015","10:18:21 AM","kelvn","Landward-Creek","60-80m","Point 1","66","","","quarter 3","Avicennia marina","0.8","0.5","13",""
"2/07/2015","10:19:06 AM","kelvn","Landward-Creek","60-80m","Point 1","66","","","quarter 4","Avicennia marina","1.3","0.2","9",""
"2/07/2015","10:19:55 AM","kelvn","Landward-Creek","60-80m","Point 2","74","-25.44801694","152.98930869","to next Transect point","","","","",""
"2/07/2015","10:20:23 AM","kelvn","Landward-Creek","60-80m","Point 2","74","","","quarter 1","Ceriops australis","0.7","0.3","4",""
"2/07/2015","10:21:15 AM","kelvn","Landward-Creek","60-80m","Point 2","74","","","quarter 2","Ceriops australis","1.1","1","7",""
"2/07/2015","10:22:32 AM","kelvn","Landward-Creek","60-80m","Point 2","74","","","quarter 3","Ceriops australis","83","1","20",""
"2/07/2015","10:23:08 AM","kelvn","Landward-Creek","60-80m","Point 2","74","","","quarter 4","Ceriops australis","0.7","0.4","5",""
"2/07/2015","10:23:47 AM","kelvn","Landward-Creek","80-100m","Point 1","87.5","-25.44795674","152.98918946","to next Transect point","","","","",""
"2/07/2015","10:24:22 AM","kelvn","Landward-Creek","80-100m","Point 1","87.5","","","quarter 1","Ceriops australis","0.5","0.5","7",""
"2/07/2015","10:25:03 AM","kelvn","Landward-Creek","80-100m","Point 1","87.5","","","quarter 2","Osbornia octodonta","0.6","0.5","4",""
"2/07/2015","10:25:55 AM","kelvn","Landward-Creek","80-100m","Point 1","87.5","","","quarter 3","Ceriops australis","0.7","0.3","3",""
"2/07/2015","10:26:23 AM","kelvn","Landward-Creek","80-100m","Point 1","87.5","","","quarter 4","Osbornia octodonta","0.3","0.3","4",""
"2/07/2015","11:05:54 AM","kelvn","Landward-Creek","80-100m","Point 1","87.5","","","to next exercise","","","","",""
"2/07/2015","11:06:03 AM","kelvn","Landward-Creek","80-100m","Point 1","87.5","-25.44772951","152.98810947","to next exercise","","","","",""
"2/07/2015","12:09:57 PM","dingo","","","","","","","","","","","",""
"2/07/2015","12:10:07 PM","dingo","","","","","-25.44796221","152.98801001","","","","","",""
"2/07/2015","12:10:27 PM","dingo","Seaward","20-40m","Point 1","75","-25.44787546","152.98804907","","","","","",""
"2/07/2015","9:39:03 AM","Pactr","","","","","","","","","","","",""
"2/07/2015","9:43:54 AM","Pactr","Landward-Creek","0-20m","Point 1","10.4","-25.44815998","152.98994125","","","","","",""
"2/07/2015","9:45:05 AM","Pactr","Landward-Creek","0-20m","Point 1","10.4","","","quarter 1","Rhizophora stylosa","0.4","1.1","12",""
"2/07/2015","9:48:30 AM","Pactr","Landward-Creek","0-20m","Point 1","10.4","","","quarter 2","Aegiceras corniculatum","0.4","0.6","10",""
"2/07/2015","9:49:37 AM","Pactr","Landward-Creek","0-20m","Point 1","10.4","","","quarter 3","Osbornia octodonta","0.1","0.8","5",""
"2/07/2015","9:50:34 AM","Pactr","Landward-Creek","0-20m","Point 1","10.4","","","quarter 4","Osbornia octodonta","0.1","0.1","15",""
"2/07/2015","9:52:21 AM","Pactr","Landward-Creek","20-40m","Point 1","20.2","-25.44815993","152.98985599","to next Transect point","","","","",""
"2/07/2015","9:56:46 AM","Pactr","Landward-Creek","20-40m","Point 1","20.2","","","quarter 1","Ceriops australis","0.7","1.2","26",""
"2/07/2015","9:57:44 AM","Pactr","Landward-Creek","20-40m","Point 1","20.2","","","quarter 2","Ceriops australis","1.4","0.8","10",""
"2/07/2015","9:58:04 AM","Pactr","Landward-Creek","20-40m","Point 1","20.2","","","quarter 3","Ceriops australis","0.4","0.9","7",""
"2/07/2015","9:58:50 AM","Pactr","Landward-Creek","20-40m","Point 1","20.2","","","quarter 4","Avicennia marina","0.2","0.7","8",""
"2/07/2015","9:59:41 AM","Pactr","Landward-Creek","20-40m","Point 2","25","-25.44814896","152.98983125","to next Transect point","","","","",""
"2/07/2015","10:00:33 AM","Pactr","Landward-Creek","20-40m","Point 2","25","","","quarter 1","Ceriops australis","0.5","1.2","10",""
"2/07/2015","10:01:18 AM","Pactr","Landward-Creek","20-40m","Point 2","25","","","quarter 2","Avicennia marina","0.7","0.6","17",""
"2/07/2015","10:02:01 AM","Pactr","Landward-Creek","20-40m","Point 2","25","","","quarter 3","Ceriops australis","0.3","0.8","15",""
"2/07/2015","10:03:18 AM","Pactr","Landward-Creek","20-40m","Point 2","25","","","quarter 4","Avicennia marina","0.8","0.7","17",""
"2/07/2015","10:05:51 AM","Pactr","Landward-Creek","40-60m","Point 1","44.7","-25.44805434","152.98964991","to next Transect point","","","","",""
"2/07/2015","10:07:12 AM","Pactr","Landward-Creek","40-60m","Point 1","44.7","","","quarter 1","Aegialitis annulata","0.4","0.4","7",""
"2/07/2015","10:07:51 AM","Pactr","Landward-Creek","40-60m","Point 1","44.7","","","quarter 2","Ceriops australis","0.4","0.6","8",""
"2/07/2015","10:08:37 AM","Pactr","Landward-Creek","40-60m","Point 1","44.7","","","quarter 3","Ceriops australis","0.5","0.6","8",""
"2/07/2015","10:09:17 AM","Pactr","Landward-Creek","40-60m","Point 1","44.7","","","quarter 4","Ceriops australis","0.4","0.8","12",""
"2/07/2015","10:18:17 AM","Pactr","Landward-Creek","60-80m","Point 1","64.6","-25.44797115","152.98946522","to next Transect point","","","","",""
"2/07/2015","10:18:59 AM","Pactr","Landward-Creek","60-80m","Point 1","64.6","","","quarter 1","Avicennia marina","1.4","0.3","15",""
"2/07/2015","10:20:14 AM","Pactr","Landward-Creek","60-80m","Point 1","64.6","","","quarter 2","Avicennia marina","3.8","0.7","25",""
"2/07/2015","10:20:50 AM","Pactr","Landward-Creek","60-80m","Point 1","64.6","","","quarter 3","Avicennia marina","1.3","0.2","10",""
"2/07/2015","10:21:25 AM","Pactr","Landward-Creek","60-80m","Point 1","64.6","","","quarter 4","Avicennia marina","1.2","0.4","7",""
"2/07/2015","10:21:57 AM","Pactr","Landward-Creek","60-80m","Point 2","75.3","-25.44792403","152.98935618","to next Transect point","","","","",""
"2/07/2015","10:22:56 AM","Pactr","Landward-Creek","60-80m","Point 2","75.3","","","quarter 1","Osbornia octodonta","0.3","0.3","2",""
"2/07/2015","10:23:39 AM","Pactr","Landward-Creek","60-80m","Point 2","75.3","","","quarter 2","Ceriops australis","1.3","0.5","7",""
"2/07/2015","10:24:27 AM","Pactr","Landward-Creek","60-80m","Point 2","75.3","","","quarter 3","Osbornia octodonta","1.3","0.4","3",""
"2/07/2015","10:24:59 AM","Pactr","Landward-Creek","60-80m","Point 2","75.3","","","quarter 4","Osbornia octodonta","0.9","0.5","0.5",""
"2/07/2015","10:26:21 AM","Pactr","Landward-Creek","80-100m","Point 1","83.8","-25.44786045","152.98928698","to next Transect point","","","","",""
"2/07/2015","10:27:20 AM","Pactr","Landward-Creek","80-100m","Point 1","83.8","","","quarter 1","Ceriops australis","1.3","1.3","16",""
"2/07/2015","10:28:09 AM","Pactr","Landward-Creek","80-100m","Point 1","83.8","","","quarter 2","Ceriops australis","1","0.4","7",""
"2/07/2015","10:28:55 AM","Pactr","Landward-Creek","80-100m","Point 1","83.8","","","quarter 3","Osbornia octodonta","1.4","0.5","9",""
"2/07/2015","10:29:30 AM","Pactr","Landward-Creek","80-100m","Point 1","83.8","","","quarter 4","Ceriops australis","1.1","0.4","11",""
"2/07/2015","11:16:32 AM","atrio","","","","","","","","","","","",""
"2/07/2015","11:17:23 AM","atrio","Seaward","0-20m","Point 1","10","-25.44743243","152.98768434","","","","","",""
"2/07/2015","11:18:04 AM","atrio","Seaward","0-20m","Point 1","10","","","quarter 1","Rhizophora stylosa","2","3.5","17",""
"2/07/2015","11:18:50 AM","atrio","Seaward","0-20m","Point 1","10","","","quarter 2","Rhizophora stylosa","2.4","2","9.5",""
"2/07/2015","11:19:45 AM","atrio","Seaward","0-20m","Point 1","10","","","quarter 3","Rhizophora stylosa","1.9","2.5","9",""
"2/07/2015","11:22:21 AM","atrio","Seaward","0-20m","Point 1","10","","","quarter 4","Rhizophora stylosa","3.5","3.3","21",""
"2/07/2015","11:24:16 AM","atrio","Seaward","0-20m","Point 2","19","-25.44747253","152.98774764","to next Transect point","","","","",""
"2/07/2015","11:25:41 AM","atrio","Seaward","0-20m","Point 2","19","","","quarter 1","Rhizophora stylosa","1.4","2.3","13",""
"2/07/2015","11:27:01 AM","atrio","Seaward","0-20m","Point 2","19","","","quarter 2","Avicennia marina","1.3","4","43",""
"2/07/2015","11:28:44 AM","atrio","Seaward","0-20m","Point 2","19","","","quarter 3","Rhizophora stylosa","3.3","0.9","4",""
"2/07/2015","11:29:28 AM","atrio","Seaward","0-20m","Point 2","19","","","quarter 4","Rhizophora stylosa","1.5","2.5","13.5",""
"2/07/2015","11:30:30 AM","atrio","Seaward","20-40m","Point 1","25","-25.44750092","152.98779049","to next Transect point","","","","",""
"2/07/2015","11:32:23 AM","atrio","Seaward","20-40m","Point 1","25","","","quarter 1","Rhizophora stylosa","2.2","0.9","5.5",""
"2/07/2015","11:33:36 AM","atrio","Seaward","20-40m","Point 1","25","","","quarter 2","Rhizophora stylosa","1.3","2.5","23",""
"2/07/2015","11:34:52 AM","atrio","Seaward","20-40m","Point 1","25","","","quarter 3","Avicennia marina","1.6","2.4","27",""
"2/07/2015","11:36:10 AM","atrio","Seaward","20-40m","Point 1","25","","","quarter 4","Rhizophora stylosa","1.5","3","33",""
"2/07/2015","11:36:56 AM","atrio","Seaward","20-40m","Point 2","30","-25.44752705","152.98783345","to next Transect point","","","","",""
"2/07/2015","11:37:46 AM","atrio","Seaward","20-40m","Point 2","30","","","quarter 1","Avicennia marina","1.2","3.1","26.5",""
"2/07/2015","11:38:32 AM","atrio","Seaward","20-40m","Point 2","30","","","quarter 2","Rhizophora stylosa","0.8","55","3.5",""
"2/07/2015","11:39:36 AM","atrio","Seaward","20-40m","Point 2","30","","","quarter 3","Rhizophora stylosa","1.3","2.5","21",""
"2/07/2015","11:41:05 AM","atrio","Seaward","20-40m","Point 2","30","","","quarter 4","Rhizophora stylosa","1","2.5","18.5",""
"2/07/2015","11:45:39 AM","atrio","Seaward","40-60m","Point 1","41","-25.44752599","152.9878717","to next Transect point","","","","",""
"2/07/2015","11:46:05 AM","atrio","Seaward","40-60m","Point 1","41","","","quarter 1","Rhizophora stylosa","0.2","51","3",""
"2/07/2015","11:46:46 AM","atrio","Seaward","40-60m","Point 1","41","","","quarter 2","Rhizophora stylosa","1.3","1.2","7",""
"2/07/2015","11:47:47 AM","atrio","Seaward","40-60m","Point 1","41","","","quarter 3","Aegialitis annulata","1.4","1.1","6",""
"2/07/2015","11:48:33 AM","atrio","Seaward","40-60m","Point 1","41","","","quarter 4","Rhizophora stylosa","1.3","1.4","8",""
"2/07/2015","11:49:34 AM","atrio","Seaward","40-60m","Point 2","52","-25.44760173","152.98797133","to next Transect point","","","","",""
"2/07/2015","11:52:20 AM","atrio","Seaward","40-60m","Point 2","52","","","quarter 1","Avicennia marina","0.5","3.2","33",""
"2/07/2015","11:52:54 AM","atrio","Seaward","40-60m","Point 2","52","","","quarter 2","Rhizophora stylosa","1.2","98","8",""
"2/07/2015","11:53:38 AM","atrio","Seaward","40-60m","Point 2","52","","","quarter 3","Avicennia marina","1.8","57","12",""
"2/07/2015","11:54:20 AM","atrio","Seaward","40-60m","Point 2","52","","","quarter 4","Rhizophora stylosa","2.5","1.2","8",""
"2/07/2015","11:56:53 AM","atrio","Seaward","60-80m","Point 1","63","-25.4476308","152.98818408","to next Transect point","","","","",""
"2/07/2015","11:57:50 AM","atrio","Seaward","60-80m","Point 1","63","","","quarter 1","Rhizophora stylosa","0.4","63","5",""
"2/07/2015","11:58:22 AM","atrio","Seaward","60-80m","Point 1","63","","","quarter 2","Rhizophora stylosa","0.6","73","8",""
"2/07/2015","11:58:43 AM","atrio","Seaward","60-80m","Point 1","63","","","quarter 3","Rhizophora stylosa","1.1","27","6",""
"2/07/2015","11:59:19 AM","atrio","Seaward","60-80m","Point 1","63","","","quarter 4","Osbornia octodonta","0.7","58","8",""
"2/07/2015","12:00:45 PM","atrio","Seaward","60-80m","Point 2","70","-25.44773553","152.98818119","to next Transect point","","","","",""
"2/07/2015","12:01:17 PM","atrio","Seaward","60-80m","Point 2","70","","","quarter 1","Avicennia marina","2.1","36","6",""
"2/07/2015","12:02:37 PM","atrio","Seaward","60-80m","Point 2","70","","","quarter 2","Avicennia marina","2","81","19",""
"2/07/2015","12:03:24 PM","atrio","Seaward","60-80m","Point 2","70","","","quarter 3","Osbornia octodonta","2.4","1.1","15",""
"2/07/2015","12:03:55 PM","atrio","Seaward","60-80m","Point 2","70","","","quarter 4","Avicennia marina","2","56","6",""
"2/07/2015","9:37:20 AM","bed","","","","","","","","","","","",""
"2/07/2015","9:38:07 AM","bed","","","","","-25.44813076","152.98998918","","","","","",""
"2/07/2015","9:39:23 AM","bed","Landward-Creek","0-20m","Point 1","8","-25.44817392","152.9899812","","","","","",""
"2/07/2015","9:42:29 AM","bed","Landward-Creek","0-20m","Point 1","8","","","quarter 1","Ceriops australis","0.6","1.2","16",""
"2/07/2015","9:43:07 AM","bed","Landward-Creek","0-20m","Point 1","8","","","quarter 2","Ceriops australis","0.6","1.1","25",""
"2/07/2015","9:44:03 AM","bed","Landward-Creek","0-20m","Point 1","8","","","quarter 3","Osbornia octodonta","0.5","0.3","4",""
"2/07/2015","9:45:12 AM","bed","Landward-Creek","0-20m","Point 1","8","","","quarter 4","Osbornia octodonta","1.4","0.8","34",""
"2/07/2015","9:46:55 AM","bed","Landward-Creek","0-20m","Point 2","18.5","-25.44813492","152.9898926","to next Transect point","","","","",""
"2/07/2015","9:48:14 AM","bed","Landward-Creek","0-20m","Point 2","18.5","","","quarter 1","Avicennia marina","0.6","0.7","14",""
"2/07/2015","9:49:16 AM","bed","Landward-Creek","0-20m","Point 2","18.5","","","quarter 2","Ceriops australis","0.6","1.2","23",""
"2/07/2015","9:49:43 AM","bed","Landward-Creek","0-20m","Point 2","18.5","","","quarter 3","Ceriops australis","0.5","1.1","15",""
"2/07/2015","9:50:34 AM","bed","Landward-Creek","0-20m","Point 2","18.5","","","quarter 4","Avicennia marina","0.2","0.5","13",""
"2/07/2015","9:55:05 AM","bed","Landward-Creek","20-40m","Point 1","29","-25.44810253","152.98979947","to next Transect point","","","","",""
"2/07/2015","9:58:58 AM","bed","Landward-Creek","20-40m","Point 1","29","","","quarter 1","Avicennia marina","0.6","0.5","12.5",""
"2/07/2015","9:59:37 AM","bed","Landward-Creek","20-40m","Point 1","29","","","quarter 2","Ceriops australis","0.6","0.6","12",""
"2/07/2015","10:00:18 AM","bed","Landward-Creek","20-40m","Point 1","29","","","quarter 3","Osbornia octodonta","0.6","0.7","5",""
"2/07/2015","10:00:43 AM","bed","Landward-Creek","20-40m","Point 1","29","","","quarter 4","Ceriops australis","0.7","0.8","36",""
"2/07/2015","10:10:20 AM","bed","Landward-Creek","40-60m","Point 1","46","-25.44802795","152.98965216","to next Transect point","","","","",""
"2/07/2015","10:11:28 AM","bed","Landward-Creek","40-60m","Point 1","46","","","quarter 1","Avicennia marina","0.9","0.7","13",""
"2/07/2015","10:12:08 AM","bed","Landward-Creek","40-60m","Point 1","46","","","quarter 2","Rhizophora stylosa","1","0.8","21",""
"2/07/2015","10:12:55 AM","bed","Landward-Creek","40-60m","Point 1","46","","","quarter 3","Avicennia marina","0.9","0.5","16",""
"2/07/2015","10:13:38 AM","bed","Landward-Creek","40-60m","Point 1","46","","","quarter 3","Ceriops australis","1.2","0.9","26",""
"2/07/2015","10:13:58 AM","bed","Landward-Creek","40-60m","Point 1","46","","","quarter 4","Rhizophora stylosa","0.3","0.6","13",""
"2/07/2015","10:14:46 AM","bed","Landward-Creek","40-60m","Point 2","58","-25.44794022","152.98957945","to next Transect point","","","","",""
"2/07/2015","10:15:32 AM","bed","Landward-Creek","40-60m","Point 2","58","","","quarter 1","Avicennia marina","0.7","0.7","59",""
"2/07/2015","10:16:36 AM","bed","Landward-Creek","40-60m","Point 2","58","","","quarter 2","Avicennia marina","1.5","0.7","20",""
"2/07/2015","10:17:31 AM","bed","Landward-Creek","40-60m","Point 2","58","","","quarter 3","Avicennia marina","1.4","0.4","11",""
"2/07/2015","10:18:21 AM","bed","Landward-Creek","40-60m","Point 2","58","","","quarter 4","Avicennia marina","1.1","0.8","27",""
"2/07/2015","10:19:06 AM","bed","Landward-Creek","60-80m","Point 1","76","-25.44788352","152.98939032","to next Transect point","","","","",""
"2/07/2015","10:20:19 AM","bed","Landward-Creek","60-80m","Point 1","76","","","quarter 1","Avicennia marina","0.9","0.5","35",""
"2/07/2015","10:21:01 AM","bed","Landward-Creek","60-80m","Point 1","76","","","quarter 2","Osbornia octodonta","0.9","0.4","6",""
"2/07/2015","10:21:34 AM","bed","Landward-Creek","60-80m","Point 1","76","","","quarter 3","Osbornia octodonta","0.9","0.3","5",""
"2/07/2015","10:22:03 AM","bed","Landward-Creek","60-80m","Point 1","76","","","quarter 4","Ceriops australis","0.8","0.7","0.3",""
"2/07/2015","10:27:38 AM","bed","Landward-Creek","80-100m","Point 1","81","-25.447858","152.98935352","to next Transect point","","","","",""
"2/07/2015","10:28:17 AM","bed","Landward-Creek","80-100m","Point 1","81","","","quarter 1","Ceriops australis","1.8","1.2","19",""
"2/07/2015","10:28:38 AM","bed","Landward-Creek","80-100m","Point 1","81","","","quarter 2","Ceriops australis","1","0.9","18",""
"2/07/2015","10:29:51 AM","bed","Landward-Creek","80-100m","Point 1","81","","","quarter 3","Ceriops australis","1.7","1.4","52",""
"2/07/2015","10:30:22 AM","bed","Landward-Creek","80-100m","Point 1","81","","","quarter 4","Ceriops australis","1.4","0.6","14",""
"2/07/2015","10:30:57 AM","bed","Landward-Creek","80-100m","Point 2","84","-25.44784434","152.98931969","to next Transect point","","","","",""
"2/07/2015","10:32:11 AM","bed","Landward-Creek","80-100m","Point 2","84","","","quarter 1","Ceriops australis","0.6","0.7","21",""
"2/07/2015","10:32:32 AM","bed","Landward-Creek","80-100m","Point 2","84","","","quarter 2","Ceriops australis","3.1","0.9","23",""
"2/07/2015","10:33:06 AM","bed","Landward-Creek","80-100m","Point 2","84","","","quarter 3","Ceriops australis","0.7","0.5","32",""
