"Date","Time","group","Transect","Zone","Points within Zone","distance on tape","Latitude","Longitude","quarter","species","Distance from point (m)","Height (m)","Circumference (cm)","point location note"
"28/06/2015","10:32:34 AM","gary","Landward-Creek","60-80m","Point 1","68.6","","","quarter 4","Osbornia octodonta","0.7","0.4","6",""
"28/06/2015","10:33:31 AM","gary","Landward-Creek","80-100m","Point 1","82.9","-25.44823925","152.98912474","to next Transect point","","","","",""
"28/06/2015","10:34:03 AM","gary","Landward-Creek","80-100m","Point 1","82.9","","","quarter 1","Avicennia marina","1.4","0.3","7",""
"28/06/2015","10:34:53 AM","gary","Landward-Creek","80-100m","Point 1","82.9","","","quarter 2","Avicennia marina","1.5","0.4","4",""
"28/06/2015","10:35:19 AM","gary","Landward-Creek","80-100m","Point 1","82.9","","","quarter 3","Avicennia marina","1.2","0.5","7",""
"28/06/2015","10:35:50 AM","gary","Landward-Creek","80-100m","Point 1","82.9","","","quarter 4","Avicennia marina","0.8","0.5","12",""
"28/06/2015","10:36:54 AM","gary","Landward-Creek","80-100m","Point 2","92.6","-25.44817337","152.98905533","to next Transect point","","","","",""
"28/06/2015","10:37:23 AM","gary","Landward-Creek","80-100m","Point 2","92.6","","","quarter 1","Osbornia octodonta","0.8","0.3","5",""
"28/06/2015","10:37:54 AM","gary","Landward-Creek","80-100m","Point 2","92.6","","","quarter 2","Aegialitis annulata","1.4","0.4","7",""
"28/06/2015","10:38:37 AM","gary","Landward-Creek","80-100m","Point 2","92.6","","","quarter 3","Avicennia marina","0.8","0.6","6",""
"28/06/2015","10:39:04 AM","gary","Landward-Creek","80-100m","Point 2","92.6","","","quarter 4","Ceriops australis","1.5","0.6","9",""
"28/06/2015","9:50:57 AM","gary","","","","","","","","","","","",""
"28/06/2015","9:51:45 AM","gary","","","","","-25.44869969","152.98971508","","","","","",""
"28/06/2015","9:53:41 AM","gary","Landward-Creek","0-20m","Point 1","87","-25.44873575","152.98967041","","","","","",""
"28/06/2015","10:01:21 AM","gary","Landward-Creek","0-20m","Point 1","6","-25.44872526","152.98965909","","","","","",""
"28/06/2015","10:07:07 AM","gary","Landward-Creek","0-20m","Point 1","6","","","quarter 1","Avicennia marina","0.7","0.8","16",""
"28/06/2015","10:07:43 AM","gary","Landward-Creek","0-20m","Point 1","6","","","quarter 2","Ceriops australis","0.5","0.9","7",""
"28/06/2015","10:08:24 AM","gary","Landward-Creek","0-20m","Point 1","6","","","quarter 3","Ceriops australis","0.8","0.6","10",""
"28/06/2015","10:10:47 AM","gary","Landward-Creek","0-20m","Point 1","6","","","quarter 4","Ceriops australis","0.4","0.9","8",""
"28/06/2015","10:14:12 AM","gary","Landward-Creek","20-40m","Point 1","34.7","-25.44853886","152.9894646","to next Transect point","","","","",""
"28/06/2015","10:15:45 AM","gary","Landward-Creek","20-40m","Point 1","34.7","","","quarter 1","Ceriops australis","1","0.4","8",""
"28/06/2015","10:17:30 AM","gary","Landward-Creek","20-40m","Point 1","34.7","","","quarter 2","Ceriops australis","1.5","0.5","16",""
"28/06/2015","10:18:39 AM","gary","Landward-Creek","20-40m","Point 1","34.7","","","quarter 3","Osbornia octodonta","1.4","0.3","4",""
"28/06/2015","10:19:36 AM","gary","Landward-Creek","20-40m","Point 1","34.7","","","quarter 4","Osbornia octodonta","0.7","0.2","4",""
"28/06/2015","10:20:04 AM","gary","Landward-Creek","20-40m","Point 2","37.6","-25.44850849","152.98939991","to next Transect point","","","","",""
"28/06/2015","10:21:10 AM","gary","Landward-Creek","20-40m","Point 2","37.6","","","quarter 1","Ceriops australis","1","0.6","15",""
"28/06/2015","10:22:43 AM","gary","Landward-Creek","20-40m","Point 2","37.6","","","quarter 2","Osbornia octodonta","0.1","0.2","4",""
"28/06/2015","10:23:09 AM","gary","Landward-Creek","20-40m","Point 2","37.6","","","quarter 2","Osbornia octodonta","0.5","0.2","2",""
"28/06/2015","10:23:52 AM","gary","Landward-Creek","20-40m","Point 2","37.6","","","quarter 4","Ceriops australis","1.3","0.2","3",""
"28/06/2015","10:24:43 AM","gary","Landward-Creek","40-60m","Point 1","49","-25.44845045","152.98933169","to next Transect point","","","","",""
"28/06/2015","10:25:08 AM","gary","Landward-Creek","40-60m","Point 1","49","","","quarter 1","Avicennia marina","0.5","0.6","11",""
"28/06/2015","10:25:27 AM","gary","Landward-Creek","40-60m","Point 1","49","","","quarter 2","Ceriops australis","0.5","0.8","9",""
"28/06/2015","10:26:12 AM","gary","Landward-Creek","40-60m","Point 1","49","","","quarter 3","Ceriops australis","0.9","0.2","5",""
"28/06/2015","10:26:49 AM","gary","Landward-Creek","40-60m","Point 1","49","","","quarter 4","Osbornia octodonta","1.1","0.4","4",""
"28/06/2015","10:28:23 AM","gary","Landward-Creek","60-80m","Point 1","69.5","-25.44831249","152.98918723","to next Transect point","","","","",""
"28/06/2015","10:29:34 AM","gary","Landward-Creek","60-80m","Point 1","69.5","","","quarter 1","Avicennia marina","1.1","0.5","8",""
"28/06/2015","10:30:11 AM","gary","Landward-Creek","60-80m","Point 1","69.5","","","quarter 2","Ceriops australis","0.3","0.2","6",""
"28/06/2015","10:30:27 AM","gary","Landward-Creek","60-80m","Point 1","69.5","","","quarter 3","Osbornia octodonta","1","0.2","2",""
"28/06/2015","10:30:54 AM","gary","Landward-Creek","60-80m","Point 1","69.5","","","quarter 4","Avicennia marina","0.9","0.5","8",""
"28/06/2015","10:31:30 AM","gary","Landward-Creek","60-80m","Point 2","75","-25.44828948","152.98916405","to next Transect point","","","","",""
"28/06/2015","10:32:15 AM","gary","Landward-Creek","60-80m","Point 2","75","","","quarter 1","Ceriops australis","0.9","0.9","16",""
"28/06/2015","10:32:27 AM","gary","Landward-Creek","60-80m","Point 2","75","","","quarter 2","Ceriops australis","1.4","0.4","6",""
"28/06/2015","10:33:29 AM","gary","Landward-Creek","60-80m","Point 2","75","","","quarter 3","Osbornia octodonta","1.3","0.3","2",""
"28/06/2015","10:34:03 AM","gary","Landward-Creek","60-80m","Point 2","75","","","quarter 4","Ceriops australis","2.2","0.4","3",""
"28/06/2015","10:34:53 AM","gary","Landward-Creek","80-100m","Point 1","87","-25.44822693","152.98904527","to next Transect point","","","","",""
"28/06/2015","10:36:37 AM","gary","Landward-Creek","80-100m","Point 1","87","","","quarter 1","Avicennia marina","0.9","0.5","0.2",""
"28/06/2015","10:37:47 AM","gary","Landward-Creek","80-100m","Point 1","87","","","quarter 2","Avicennia marina","1.7","0.5","8",""
"28/06/2015","10:39:54 AM","gary","Landward-Creek","80-100m","Point 1","87","","","quarter 3","Avicennia marina","2.7","0.6","8",""
"28/06/2015","10:40:36 AM","gary","Landward-Creek","80-100m","Point 1","87","","","quarter 4","Avicennia marina","1.4","0.5","5",""
"28/06/2015","12:38:20 PM","yellow blue 1","","","","","","","","","","","",""
"28/06/2015","12:38:31 PM","yellow blue 1","","","","","-25.44733187","152.98779139","","","","","",""
"28/06/2015","12:40:30 PM","yellow blue 1","Seaward","0-20m","Point 1","7.8","-25.44726432","152.98781625","","","","","",""
"28/06/2015","12:45:31 PM","yellow blue 1","Seaward","0-20m","Point 1","7.8","","","quarter 1","Avicennia marina","2.5","8","3.5",""
"28/06/2015","12:49:13 PM","yellow blue 1","Seaward","0-20m","Point 1","7.8","","","quarter 2","Avicennia marina","3.2","8.5","102",""
"28/06/2015","12:50:07 PM","yellow blue 1","Seaward","0-20m","Point 1","7.8","","","quarter 3","Avicennia marina","0.3","1.5","3.5",""
"28/06/2015","12:50:37 PM","yellow blue 1","Seaward","0-20m","Point 1","7.8","","","quarter 4","Avicennia marina","2.5","144","5",""
"28/06/2015","12:54:08 PM","yellow blue 1","Seaward","20-40m","Point 1","25","-25.44731983","152.98793659","to next Transect point","","","","",""
"28/06/2015","12:56:17 PM","yellow blue 1","Seaward","20-40m","Point 1","25","","","quarter 1","Rhizophora stylosa","1.8","4","23.5",""
"28/06/2015","12:57:09 PM","yellow blue 1","Seaward","20-40m","Point 1","25","","","quarter 2","Rhizophora stylosa","1.7","3.5","17",""
"28/06/2015","12:59:43 PM","yellow blue 1","Seaward","20-40m","Point 1","25","","","quarter 3","Rhizophora stylosa","0.9","3.5","",""
"28/06/2015","1:00:24 PM","yellow blue 1","Seaward","20-40m","Point 1","25","","","quarter 4","Rhizophora stylosa","3.5","2.2","14",""
"28/06/2015","1:02:11 PM","yellow blue 1","Seaward","20-40m","Point 2","33.9","-25.44736245","152.98811149","to next Transect point","","","","",""
"28/06/2015","1:07:31 PM","yellow blue 1","","","","","","","","","","","",""
"28/06/2015","1:07:41 PM","yellow blue 1","","","","","-25.44732009","152.98802421","","","","","",""
"28/06/2015","1:08:35 PM","yellow blue 1","Seaward","20-40m","Point 2","33","-25.44732561","152.98803754","","","","","",""
"28/06/2015","1:10:18 PM","yellow blue 1","Seaward","20-40m","Point 2","33","","","quarter 2","Rhizophora stylosa","74","1.3","11.5",""
"28/06/2015","1:11:10 PM","yellow blue 1","Seaward","20-40m","Point 2","33","","","quarter 3","Rhizophora stylosa","2","4.8","27",""
"28/06/2015","1:12:15 PM","yellow blue 1","Seaward","20-40m","Point 2","33","","","quarter 4","Avicennia marina","2.5","4","21",""
"28/06/2015","1:13:47 PM","yellow blue 1","Seaward","40-60m","Point 1","47.5","-25.44731468","152.98806423","to next Transect point","","","","",""
"28/06/2015","1:14:57 PM","yellow blue 1","Seaward","40-60m","Point 1","47.5","","","quarter 1","Rhizophora stylosa","0.7","1.5","11.5",""
"28/06/2015","1:15:28 PM","yellow blue 1","Seaward","40-60m","Point 1","47.5","","","quarter 2","Rhizophora stylosa","0.8","1.4","8.5",""
"28/06/2015","1:16:16 PM","yellow blue 1","Seaward","40-60m","Point 1","47.5","","","quarter 3","Rhizophora stylosa","0.5","1.3","9",""
"28/06/2015","1:16:42 PM","yellow blue 1","Seaward","40-60m","Point 1","47.5","","","quarter 4","Avicennia marina","1.1","3.5","14",""
"28/06/2015","1:18:25 PM","yellow blue 1","Seaward","60-80m","Point 1","63","-25.4473471","152.98817736","to next Transect point","","","","",""
"28/06/2015","1:18:56 PM","yellow blue 1","Seaward","60-80m","Point 1","63","","","quarter 1","Rhizophora stylosa","1.7","1.6","9",""
"28/06/2015","1:20:33 PM","yellow blue 1","Seaward","60-80m","Point 1","63","","","quarter 2","Avicennia marina","5","4.8","28",""
"28/06/2015","1:21:41 PM","yellow blue 1","Seaward","60-80m","Point 1","63","","","quarter 3","Avicennia marina","5","1.8","12",""
"28/06/2015","1:23:13 PM","yellow blue 1","Seaward","60-80m","Point 1","63","","","quarter 4","Avicennia marina","5","0.8","2",""
"28/06/2015","1:25:31 PM","yellow blue 1","Seaward","60-80m","Point 1","63","","","quarter 1","Avicennia marina","0.5","0.5","3",""
"28/06/2015","1:26:21 PM","yellow blue 1","Seaward","60-80m","Point 1","63","","","quarter 2","Avicennia marina","1.4","1.1","1",""
"28/06/2015","1:26:50 PM","yellow blue 1","Seaward","60-80m","Point 1","63","","","quarter 3","Avicennia marina","2.5","0.4","1",""
"28/06/2015","1:27:26 PM","yellow blue 1","Seaward","60-80m","Point 1","63","","","quarter 4","Avicennia marina","2.7","2","13",""
"28/06/2015","1:51:27 PM","yellow blue 1","Seaward","60-80m","Point 1","63","-25.4591463","153.01598675","to next Transect point","","","","",""
"28/06/2015","12:03:05 PM","three","","","","","","","","","","","",""
"28/06/2015","12:03:28 PM","three","","","","","-25.44720218","152.9885678","","","","","",""
"28/06/2015","12:33:07 PM","three","Seaward","0-20m","Point 1","4","-25.44671237","152.98802359","","","","","",""
"28/06/2015","12:36:54 PM","three","Seaward","0-20m","Point 1","4","","","quarter 1","Rhizophora stylosa","2.3","2.5","17",""
"28/06/2015","12:39:31 PM","three","Seaward","0-20m","Point 1","4","","","quarter 2","Rhizophora stylosa","2.1","3.2","28",""
"28/06/2015","12:41:20 PM","three","Seaward","0-20m","Point 1","4","","","quarter 3","Rhizophora stylosa","3.1","2.3","16",""
"28/06/2015","12:42:46 PM","three","Seaward","0-20m","Point 1","4","","","quarter 4","Rhizophora stylosa","3.4","3.2","14",""
"28/06/2015","12:46:02 PM","three","Seaward","0-20m","Point 1","19","-25.44679317","152.98815398","to next Transect point","","","","",""
"28/06/2015","12:46:49 PM","three","Seaward","0-20m","Point 1","19","","","quarter 1","Rhizophora stylosa","1.8","2.7","18",""
"28/06/2015","12:47:50 PM","three","Seaward","0-20m","Point 1","19","","","quarter 2","Rhizophora stylosa","1.2","3","13",""
"28/06/2015","12:48:54 PM","three","Seaward","0-20m","Point 1","19","","","quarter 3","Rhizophora stylosa","2.1","3.9","16",""
"28/06/2015","12:50:27 PM","three","Seaward","0-20m","Point 1","19","","","quarter 4","Rhizophora stylosa","2.8","2.1","10",""
"28/06/2015","12:52:36 PM","three","Seaward","20-40m","Point 1","28","-25.4468082","152.98815328","to next Transect point","","","","",""
"28/06/2015","12:57:01 PM","three","Seaward","20-40m","Point 1","28","-25.44681718","152.98816126","to next Transect point","","","","",""
"28/06/2015","12:57:44 PM","three","Seaward","20-40m","Point 1","28","","","quarter 1","Rhizophora stylosa","1.5","2.8","10",""
"28/06/2015","12:59:07 PM","three","Seaward","20-40m","Point 1","28","","","quarter 2","Rhizophora stylosa","0.7","6","21",""
"28/06/2015","12:59:47 PM","three","Seaward","20-40m","Point 1","28","","","quarter 3","Rhizophora stylosa","0.8","4","11",""
"28/06/2015","1:00:51 PM","three","Seaward","20-40m","Point 1","28","","","quarter 4","Rhizophora stylosa","1.9","5","25",""
"28/06/2015","1:02:31 PM","three","Seaward","20-40m","Point 2","36","-25.4468574","152.98820203","to next Transect point","","","","",""
"28/06/2015","1:03:43 PM","three","Seaward","20-40m","Point 2","36","","","quarter 1","Rhizophora stylosa","1.3","2.4","10",""
"28/06/2015","1:04:51 PM","three","Seaward","20-40m","Point 2","36","","","quarter 2","Rhizophora stylosa","0.4","4","21",""
"28/06/2015","1:06:24 PM","three","Seaward","20-40m","Point 2","36","","","quarter 3","Rhizophora stylosa","1.9","4.2","26",""
"28/06/2015","1:07:08 PM","three","Seaward","20-40m","Point 2","36","","","quarter 4","Rhizophora stylosa","1.2","1.1","5",""
"28/06/2015","1:09:40 PM","three","Seaward","40-60m","Point 1","44","-25.44692433","152.9882629","to next Transect point","","","","",""
"28/06/2015","1:11:54 PM","three","Seaward","40-60m","Point 1","44","","","quarter 1","Rhizophora stylosa","1.9","1.9","9",""
"28/06/2015","1:15:12 PM","three","Seaward","40-60m","Point 1","44","","","quarter 2","Rhizophora stylosa","1.8","2.6","21",""
"28/06/2015","1:16:50 PM","three","Seaward","40-60m","Point 1","44","","","quarter 3","Rhizophora stylosa","1.3","3.2","15",""
"28/06/2015","1:17:53 PM","three","Seaward","40-60m","Point 1","44","","","quarter 4","Rhizophora stylosa","0.8","1.5","7",""
"28/06/2015","1:20:42 PM","three","Seaward","40-60m","Point 1","55","-25.44699371","152.98831876","to next Transect point","","","","",""
"28/06/2015","1:22:10 PM","three","Seaward","40-60m","Point 1","55","","","quarter 1","Avicennia marina","0.3","1.1","5",""
"28/06/2015","1:24:00 PM","three","Seaward","40-60m","Point 1","55","","","quarter 2","Rhizophora stylosa","1.3","2.4","13",""
"28/06/2015","1:24:53 PM","three","Seaward","40-60m","Point 1","55","","","quarter 3","Rhizophora stylosa","1.1","2.1","12",""
"28/06/2015","1:30:59 PM","three","Seaward","40-60m","Point 1","55","","","quarter 4","Rhizophora stylosa","1.2","1.7","12",""
"28/06/2015","1:32:02 PM","three","Seaward","60-80m","Point 1","71","-25.44710909","152.98852538","to next Transect point","","","","",""
"28/06/2015","1:34:29 PM","three","Seaward","60-80m","Point 1","71","","","quarter 1","Avicennia marina","0.4","0.4","4",""
"28/06/2015","1:35:05 PM","three","Seaward","60-80m","Point 1","71","","","quarter 2","Aegialitis annulata","0.6","0.4","14",""
"28/06/2015","1:35:41 PM","three","Seaward","60-80m","Point 1","71","","","quarter 3","Rhizophora stylosa","0.3","0.5","7",""
"28/06/2015","1:36:12 PM","three","Seaward","60-80m","Point 1","71","","","quarter 4","Aegialitis annulata","0.6","0.4","8",""
"28/06/2015","1:37:02 PM","three","Seaward","60-80m","Point 2","78","-25.44714946","152.98858496","to next Transect point","","","","",""
"28/06/2015","1:38:08 PM","three","Seaward","60-80m","Point 2","78","","","quarter 1","Aegialitis annulata","0.6","0.4","11",""
"28/06/2015","1:38:55 PM","three","Seaward","60-80m","Point 2","78","","","quarter 2","Avicennia marina","0.6","0.9","9",""
"28/06/2015","1:39:32 PM","three","Seaward","60-80m","Point 2","78","","","quarter 3","Avicennia marina","1.1","1.4","10",""
"28/06/2015","1:40:36 PM","three","Seaward","60-80m","Point 2","78","","","quarter 4","Avicennia marina","1.6","3.1","24",""
"28/06/2015","12:16:29 PM","blue yellow 1","","","","","","","","","","","",""
"28/06/2015","12:17:41 PM","blue yellow 1","","","","","-25.44728933","152.98774213","","","","","",""
"28/06/2015","12:23:51 PM","blue yellow 1","Seaward","0-20m","Point 1","4","-25.44728726","152.98776317","","","","","",""
"28/06/2015","12:29:05 PM","blue yellow 1","Seaward","0-20m","Point 1","4","","","quarter 1","Rhizophora stylosa","1.2","3.5","44",""
"28/06/2015","12:30:31 PM","blue yellow 1","Seaward","0-20m","Point 1","4","","","quarter 2","Rhizophora stylosa","143","3.2","17",""
"28/06/2015","12:32:09 PM","blue yellow 1","Seaward","0-20m","Point 1","4","","","quarter 3","Rhizophora stylosa","1.8","3","18",""
"28/06/2015","12:33:46 PM","blue yellow 1","Seaward","0-20m","Point 1","4","","","quarter 4","Rhizophora stylosa","3.2","3.3","24",""
"28/06/2015","12:37:06 PM","blue yellow 1","Seaward","0-20m","Point 2","13","-25.44729178","152.98782624","to next Transect point","","","","",""
"28/06/2015","12:39:43 PM","blue yellow 1","Seaward","0-20m","Point 2","13","","","quarter 1","Avicennia marina","1.2","5.5","163",""
"28/06/2015","12:40:49 PM","blue yellow 1","Seaward","0-20m","Point 2","13","","","quarter 2","Rhizophora stylosa","1.5","3.6","27",""
"28/06/2015","12:42:02 PM","blue yellow 1","Seaward","0-20m","Point 2","13","","","quarter 3","Rhizophora stylosa","2.3","1.9","10",""
"28/06/2015","12:43:24 PM","blue yellow 1","Seaward","0-20m","Point 2","13","","","quarter 4","Rhizophora stylosa","5.1","2.3","6.9",""
"28/06/2015","12:46:48 PM","blue yellow 1","Seaward","20-40m","Point 1","26","-25.44729852","152.98791358","to next Transect point","","","","",""
"28/06/2015","12:47:43 PM","blue yellow 1","Seaward","20-40m","Point 1","26","","","quarter 1","Rhizophora stylosa","0.5","2.4","8.5",""
"28/06/2015","12:48:26 PM","blue yellow 1","Seaward","20-40m","Point 1","26","","","quarter 2","Rhizophora stylosa","1.2","3.2","16",""
"28/06/2015","12:49:24 PM","blue yellow 1","Seaward","20-40m","Point 1","26","","","quarter 3","Rhizophora stylosa","1.1","2.7","13",""
"28/06/2015","12:50:32 PM","blue yellow 1","Seaward","20-40m","Point 1","26","","","quarter 4","Rhizophora stylosa","1.2","3.4","32",""
"28/06/2015","12:53:05 PM","blue yellow 1","Seaward","40-60m","Point 1","44","-25.44737157","152.98812658","to next Transect point","","","","",""
"28/06/2015","12:54:12 PM","blue yellow 1","Seaward","40-60m","Point 1","44","","","quarter 1","Rhizophora stylosa","1.3","1.7","21",""
"28/06/2015","12:55:06 PM","blue yellow 1","Seaward","40-60m","Point 1","44","","","quarter 2","Rhizophora stylosa","2.1","3.3","21",""
"28/06/2015","12:56:18 PM","blue yellow 1","Seaward","40-60m","Point 1","44","","","quarter 3","Rhizophora stylosa","1.2","2.2","15",""
"28/06/2015","12:58:03 PM","blue yellow 1","Seaward","40-60m","Point 1","44","","","quarter 4","Avicennia marina","1.3","2.3","23",""
"28/06/2015","12:59:52 PM","blue yellow 1","Seaward","40-60m","Point 2","52","-25.44743001","152.98819354","to next Transect point","","","","",""
"28/06/2015","1:00:49 PM","blue yellow 1","Seaward","40-60m","Point 2","52","-25.44742394","152.98819707","to next Transect point","","","","",""
"28/06/2015","1:01:31 PM","blue yellow 1","Seaward","40-60m","Point 2","52","","","quarter 1","Rhizophora stylosa","1.3","2.6","11",""
"28/06/2015","1:02:07 PM","blue yellow 1","Seaward","40-60m","Point 2","52","","","quarter 2","Rhizophora stylosa","1.2","1.2","6",""
"28/06/2015","1:03:18 PM","blue yellow 1","Seaward","40-60m","Point 2","52","","","quarter 3","Rhizophora stylosa","1.8","1.8","11",""
"28/06/2015","1:04:22 PM","blue yellow 1","Seaward","40-60m","Point 2","52","","","quarter 4","Avicennia marina","2.8","2.4","38",""
"28/06/2015","1:06:01 PM","blue yellow 1","Seaward","60-80m","Point 1","66","-25.44744132","152.98831308","to next Transect point","","","","",""
"28/06/2015","1:07:58 PM","blue yellow 1","Seaward","60-80m","Point 1","66","","","quarter 1","Ceriops australis","3","2.1","7",""
"28/06/2015","1:09:06 PM","blue yellow 1","Seaward","60-80m","Point 1","66","","","quarter 2","Avicennia marina","2.5","2.8","23",""
"28/06/2015","1:10:21 PM","blue yellow 1","Seaward","60-80m","Point 1","66","","","quarter 3","Avicennia marina","2.8","1.3","8",""
"28/06/2015","1:10:53 PM","blue yellow 1","Seaward","60-80m","Point 1","66","","","quarter 4","Avicennia marina","2.5","1.2","9",""
