"Date","Time","Latitude","Longitude","Group name","Quadrat Size","Acacia flavescens","Acacia leiocalyx","Acronychia imperforata","Allocasaurina littoralis","Angophora leiocarpa","Astrotricha longifolia","Alphitonia excelsa","Austromyrtus dulcis","Banksia integrifolia subsp. integrifolia","Banksia oblongifolia","Banksia serrata","Callitris Pine","Carpobrotus glaucescens","Casuarina equisetifolia","Casuarina glauca","Commelina diffusa","Cyclophyllum coprosmoides","Dianella caerulea","Eucalyptus melanoleuca","Eucalyptus pilularis","Helichrysum oxylepis subsp. Fraser Is","Hibbertia linearis","Hibbertia scandens","Hydrocotyle bonariensis","Leptospermum sp","Leucopogan ericoides","Lomandra confertifolia","Lomandra obliqua","Lophostemon confertus","Monotoca sp. Fraser Island","Ozothamnus sp.","Platysace lanceolata","Pteridium esculentum","Passiflora sp.","Ricinocarpos pinifolius","Schizaea bifida","Xylomelum salicinum","unknown sp1","unknown sp2","unknown sp3","unknown sp4","unknown sp5","unknown sp6","unknown sp7","unknown sp8"
"27/06/2015","3:29:18 PM","","","Red Team","4x4","True","","","","","","","","","","","","","True","","","","","","","","","","","","","","","True","","","","","","","","","","","","","","","",""
"27/06/2015","3:32:45 PM","","","Red Team","8x4","","","","","","","","","","","True","","","","","","","","True","","","","","","","","","","","","","","","","","","","","","True","","","","",""
"27/06/2015","3:37:21 PM","","","Red Team","8x8","","","","","","","","","","","","","","","","","","","","","","","","","True","True","","","","","","","","","","","","","","","True","True","","",""
"27/06/2015","3:44:56 PM","","","Red Team","16x8","","","","","","","","","","","","True","","","","","","","","True","","","","","","","","","","","True","","True","","","","","","","","","","True","True",""
"27/06/2015","3:48:30 PM","","","Red Team","16x16","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","True"
"27/06/2015","3:48:39 PM","-25.45944581","153.01622251","Red Team","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27/06/2015","9:02:21 AM","-25.59844099","153.0899644","blue site 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27/06/2015","9:10:14 AM","","","blue site 1","1x1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","","","","","True","","","","","","",""
"27/06/2015","9:11:18 AM","","","blue site 1","2x1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27/06/2015","9:12:20 AM","","","blue site 1","2x2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27/06/2015","9:13:48 AM","","","blue site 1","4x2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27/06/2015","9:15:49 AM","","","blue site 1","4x4","","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27/06/2015","9:27:51 AM","","","blue site 1","8x4","","True","","","","","","","","","","","","","","","","True","True","","","","True","","","","","","","","","","","","","","","","True","True","","","","",""
"27/06/2015","9:33:39 AM","","","blue site 1","8x8","","","","","","","","","","","","","","","","","","","","","","","","","","","True","True","","","","","","","","","","","","","True","True","","",""
"27/06/2015","9:44:14 AM","","","blue site 1","16x8","","","","","","","","","","","True","","","","","","True","","","","","True","","","","","","","","True","","","","","","","","","","","","","True","True",""
"27/06/2015","9:47:14 AM","","","blue site 1","16x16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","","","","","","","","","","",""
"27/06/2015","9:48:07 AM","-25.59853274","153.08977441","blue site 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
