"Date","Time","Latitude","Longitude","Group name","Quadrat Size","Species","V8","Week","Group color","Quadrat Size.1","unknown sp1"
"2/07/2015","10:01:48 AM",NA,NA,"blue heath woodland","16x8","Acacia leiocalyx","Fabaceae",2,"blue",NA,NA
"2/07/2015","10:01:48 AM",NA,NA,"blue heath woodland","16x8","Casuarina equisetifolia","Casuarinaceae",2,"blue",NA,NA
"2/07/2015","10:01:48 AM",NA,NA,"blue heath woodland","16x8","Platysace linearifolia","Araliaceae",2,"blue",NA,NA
"2/07/2015","10:01:48 AM",NA,NA,"blue heath woodland","16x16","Cyclophyllum coprosmoides","Rubiaceae",2,"blue",NA,NA
"2/07/2015","10:01:48 AM",NA,NA,"blue heath woodland","16x16","Passiflora sp.","Passifloraceae",2,"blue",NA,NA
"2/07/2015","10:01:48 AM",NA,NA,"blue heath woodland","16x16","Corymbia tesselloris","Myrtaceae",2,"blue",NA,NA
"3/07/2015","9:34:17 AM",NA,NA,"green scribbly gum forest","1x1","Dianella caerulea","Xanthorrheaceae",2,"green",NA,NA
"3/07/2015","9:34:17 AM",NA,NA,"green scribbly gum forest","1x1","Pteridium esculentum","Dennstaeditiaceae",2,"green",NA,NA
"3/07/2015","9:34:17 AM",NA,NA,"green scribbly gum forest","1x1","Blady grass","Poaceae",2,"green",NA,NA
"","",NA,NA,"green scribbly gum forest","1x1","Lomandra multiflora","Asparagaceae",2,"green",NA,NA
"3/07/2015","9:36:22 AM",NA,NA,"green scribbly gum forest","2x1","Lomandra obliqua","Asparagaceae",2,"green",NA,NA
"3/07/2015","9:39:18 AM",NA,NA,"green scribbly gum forest","2x2","Lomandra confertifolia","Asparagaceae",2,"green",NA,NA
"3/07/2015","9:39:18 AM",NA,NA,"green scribbly gum forest","2x2","Ricinocarpos pinifolius","Euphorbiaceae",2,"green",NA,NA
"3/07/2015","9:45:23 AM",NA,NA,"green scribbly gum forest","4x2","Leucopogan No1 flowering","Ericaceae",2,"green",NA,NA
"3/07/2015","9:45:23 AM",NA,NA,"green scribbly gum forest","4x2","Schizaea bifida","",2,"green",NA,NA
"3/07/2015","9:45:23 AM",NA,NA,"green scribbly gum forest","4x2","Acacia penninervis","Fabaceae",2,"green",NA,NA
"3/07/2015","9:54:56 AM",NA,NA,"green scribbly gum forest","8x4","Banksia serrata","Proteaceae",2,"green",NA,NA
"3/07/2015","9:54:56 AM",NA,NA,"green scribbly gum forest","8x4","Tickly grass","Poaceae",2,"green",NA,NA
"","",NA,NA,"green scribbly gum forest","8x4","Phebalium","Rutaceae",2,"green",NA,NA
"","",NA,NA,"green scribbly gum forest","8x4","Persoonia","Proteaceae",2,"green",NA,NA
"","",NA,NA,"green scribbly gum forest","8x4","Boronia rosmari","Rutaceae",2,"green",NA,NA
"","",NA,NA,"green scribbly gum forest","8x8","Eucalyptus racemosa","Myrtaceae",2,"green",NA,NA
"3/07/2015","10:00:16 AM",NA,NA,"green scribbly gum forest","8x8","Monotoca sp. Fraser Island","Ericaceae",2,"green",NA,NA
"3/07/2015","10:12:21 AM",NA,NA,"green scribbly gum forest","16x8","Acacia leiocalyx","Fabaceae",2,"green",NA,NA
"3/07/2015","10:12:21 AM",NA,NA,"green scribbly gum forest","16x8","Xylomelum salicinum","Proteaceae",2,"green",NA,NA
"3/07/2015","10:12:21 AM",NA,NA,"green scribbly gum forest","16x8","Themeda triandra Pink hairy grass","Poaceae",2,"green",NA,NA
"3/07/2015","10:12:21 AM",NA,NA,"green scribbly gum forest","16x8","Lomandra sp.","Asparagaceae",2,"green",NA,NA
"","",NA,NA,"green scribbly gum forest","16x8","Schoenus brevius","Cyperaceae",2,"green",NA,NA
"","",NA,NA,"green scribbly gum forest","16x16","Smilax","Smilacaceae",2,"green",NA,NA
"","",NA,NA,"green scribbly gum forest","16x16","Acacia flavescens","Fabaceae",2,"green",NA,NA
"","",NA,NA,"green scribbly gum forest","16x16","Lophostemon","Myrtaceae",2,"green",NA,NA
"4/07/2015","12:14:29 PM","","","red group no man's land","1x1","Banksia serrata",NA,2,"red","1x1","True"
"4/07/2015","12:14:29 PM","","","red group no man's land","1x1","Lomandra obliqua",NA,2,"red","1x1","True"
"4/07/2015","12:14:29 PM","","","red group no man's land","1x1","Ricinocarpos pinifolius",NA,2,"red","1x1","True"
"4/07/2015","12:14:29 PM","","","red group no man's land","1x1","unknown sp1",NA,2,"red","1x1","True"
"4/07/2015","12:14:29 PM","","","red group no man's land","1x1","unknown sp2",NA,2,"red","1x1","True"
"4/07/2015","12:14:29 PM","","","red group no man's land","1x1","unknown sp1",NA,2,"red","1x1","True"
"4/07/2015","12:19:41 PM","","","red group no man's land","2x1","Leucopogan ericoides",NA,2,"red","2x1",""
"4/07/2015","12:19:41 PM","","","red group no man's land","2x1","unknown sp3",NA,2,"red","2x1",""
"4/07/2015","12:23:15 PM","","","red group no man's land","2x2","Leucopogan pimeleoides",NA,2,"red","2x2",""
"4/07/2015","12:28:05 PM","","","red group no man's land","4x2","Acacia flavescens",NA,2,"red","4x2",""
"4/07/2015","12:28:05 PM","","","red group no man's land","4x2","Casuarina glauca",NA,2,"red","4x2",""
"4/07/2015","12:28:05 PM","","","red group no man's land","4x2","Pteridium esculentum",NA,2,"red","4x2",""
"4/07/2015","12:35:11 PM","","","red group no man's land","4x4","unknown sp4",NA,2,"red","4x4",""
"4/07/2015","12:35:11 PM","","","red group no man's land","4x4","unknown sp5",NA,2,"red","4x4",""
"4/07/2015","12:40:06 PM","","","red group no man's land","8x4","Acacia leiocalyx",NA,2,"red","8x4",""
"4/07/2015","12:40:06 PM","","","red group no man's land","8x4","unknown sp6",NA,2,"red","8x4",""
"4/07/2015","12:44:32 PM","","","red group no man's land","8x8","Banksia integrifolia subsp. integrifolia",NA,2,"red","8x8",""
"4/07/2015","12:44:32 PM","","","red group no man's land","8x8","Schizaea bifida",NA,2,"red","8x8",""
"4/07/2015","12:51:52 PM","","","red group no man's land","16x16","Eucalyptus pilularis",NA,2,"red","16x16",""
"4/07/2015","8:50:19 AM","","","blue retro","1x1","unknown sp1",NA,2,"red","1x1","True"
"4/07/2015","8:50:19 AM","","","blue retro","1x1","unknown sp1",NA,2,"red","1x1","True"
"4/07/2015","8:53:23 AM","","","blue retro","2x1","Callitris Pine",NA,2,"red","2x1",""
"4/07/2015","8:53:23 AM","","","blue retro","2x1","unknown sp2",NA,2,"red","2x1",""
"4/07/2015","8:54:57 AM","","","blue retro","2x2","Banksia serrata",NA,2,"red","2x2",""
"4/07/2015","8:54:57 AM","","","blue retro","2x2","Casuarina equisetifolia",NA,2,"red","2x2",""
"4/07/2015","8:54:57 AM","","","blue retro","2x2","unknown sp3",NA,2,"red","2x2",""
"4/07/2015","8:57:09 AM","","","blue retro","4x2","Monotoca sp. Fraser Island",NA,2,"red","4x2",""
"4/07/2015","9:02:07 AM","","","blue retro","4x4","Lophostemon confertus",NA,2,"red","4x4",""
"4/07/2015","9:02:07 AM","","","blue retro","4x4","unknown sp4",NA,2,"red","4x4",""
"4/07/2015","9:02:07 AM","","","blue retro","4x4","unknown sp5",NA,2,"red","4x4",""
"4/07/2015","9:07:44 AM","","","blue retro","8x4","Austromyrtus dulcis",NA,2,"red","8x4",""
"4/07/2015","9:07:44 AM","","","blue retro","8x4","Eucalyptus pilularis",NA,2,"red","8x4",""
"4/07/2015","9:12:40 AM","","","blue retro","8x8","Leptospermum sp",NA,2,"red","8x8",""
"4/07/2015","9:12:40 AM","","","blue retro","8x8","unknown sp6",NA,2,"red","8x8",""
"4/07/2015","9:17:55 AM","","","blue retro","16x8","unknown sp7",NA,2,"red","16x8",""
"4/07/2015","9:17:55 AM","","","blue retro","16x8","unknown sp8",NA,2,"red","16x8",""
"4/07/2015","9:29:56 AM","","","blue retro","16x16","Acacia flavescens",NA,2,"red","16x16",""
